orgao_superior_nome;orgao_nome;nome_item;nome_natureza_despesa_detalhada;valor
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Apoio Administrativo, Técnico e Operacional;SERVICOS TECNICOS PROFISSIONAIS;41331.24
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Locações de Mão-de-Obra e Terceirização;SERVICOS DE COPA E COZINHA;5571.12
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Vigilância Ostensiva;VIGILANCIA OSTENSIVA;962974.85
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Serviços de Limpeza e Conservação;LIMPEZA E CONSERVACAO;436367.07
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Apoio Administrativo, Técnico e Operacional;APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL;471637.84
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Apoio Administrativo, Técnico e Operacional;GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC;11057.27
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Locação de Imóveis;LOCACAO DE IMOVEIS;77019.46
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;Apoio Administrativo, Técnico e Operacional;ESTAGIARIOS;93923.45
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE DO AMAZONAS;Contratação Temporária;AUXILIO-CRECHE;3659.4
MINISTÉRIO DA EDUCAÇÃO;FUNDAÇÃO UNIVERSIDADE DO AMAZONAS;Contratação Temporária;AUXILIO-ALIMENTACAO;111261.81
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Tecnologia da Informação e Comunicação;LOCACAO DE SOFTWARES;7055.95
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Apoio Administrativo, Técnico e Operacional;SEGUROS EM GERAL;63.84
MINISTÉRIO DA EDUCAÇÃO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;Apoio Administrativo, Técnico e Operacional;SERVICOS DE GAS;5614.96
